trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2327010,4,2,"Washtenaw to YTC",,1,5301,shp-4-55,1,1
2759020,23,3,"Plymouth to Blake Transit Ctr",,0,2102,shp-23-06,1,1
726020,64,3,"Geddes - E. Stadium to Central Campus Transit Ctr",,0,12802,shp-64-02,1,1
28020,65,3,"U-M - Downtown - Green to CCTC",,0,12202,shp-65-03,1,1
75020,23,3,"Plymouth to Blake Transit Ctr",,0,2802,shp-23-07,1,1
290070,42,1,"Forest - MacArthur to Ypsilanti Transit Ctr",,0,9607,shp-42-52,1,1
1339020,27,3,"W. Stadium - Oak Valley to Blake Transit Ctr",,0,2702,shp-27-04,1,1
756020,23,3,"Plymouth to Blake Transit Ctr",,0,1502,shp-23-06,1,1
2922020,42,3,"Forest - MacArthur to Ypsilanti Transit Ctr",,0,6902,shp-42-52,1,1
2531070,44,1,"44 Ecorse Tyler to YTC",,0,9407,shp-44-52,1,1
1746020,47,3,"47 Harriet Michigan to YTC",,0,8102,shp-47-51,1,1
3509070,5,1,"A Packard to BTC",,0,9707,shp-5-01,1,1
3564020,32,3,"Miller - Maple to Blake Transit Ctr",,0,1302,shp-32-06,1,1
616020,4,3,"Washtenaw to BTC",,0,5202,shp-4-06,1,1
1297020,43,3,"E Michigan Ave to Ypsilanti Transit Ctr",,0,8202,shp-43-51,1,1
3593010,30,2,"Jackson Rd to BTC",,0,3601,shp-30-51,1,1
3716020,5,3,"A Packard to BTC",,0,10502,shp-5-01,1,1
1638010,4,2,"Washtenaw to YTC",,1,5201,shp-4-55,1,1
1414010,46,2,"Huron Paint Creek to Huron River + Textile",,1,8301,shp-46-02,1,1
1120010,25,2,"Ann Arbor - Saline Rd to Blake Transit Ctr",,0,3201,shp-25-09,1,1
2120020,67,3,"EISENHOWER-GOLFSIDE TO BRIARWOOD MALL",,0,11502,shp-67-02,1,1
3173010,27,2,"W. Stadium - Oak Valley to Blake Transit Ctr",,0,3001,shp-27-04,1,1
2230020,5,3,"Packard to Meijer: Carpenter Rd",,1,10502,shp-5-08,1,1
3783020,28,3,"28 Pauline to BTC",,0,2702,shp-28-10,1,1
2816010,32,2,"Miller - Maple to Blake Transit Ctr",,0,4401,shp-32-06,1,1
2632020,23,3,"Plymouth to Plymouth Rd P&R",,1,1702,shp-23-60,1,1
139020,28,3,"Pauline to Maple & Pennsylvania",,1,2202,shp-28-12,1,1
2616070,6,1,"Ellsworth to BTC",,0,11407,shp-6-01,1,1
1037070,42,1,"42 Forest-MacArthur to YTC",,0,9407,shp-42-04,1,1
3007070,4,1,"Washtenaw to BTC",,0,5307,shp-4-06,1,1
1925070,32,1,"Miller - Maple to Blake Transit Ctr",,0,4607,shp-32-06,1,1
186020,46,3,"Huron Paint Creek to Huron River + Textile",,1,7202,shp-46-02,1,1
2380020,25,3,"Ann Arbor - Saline Rd to Blake Transit Ctr",,0,2502,shp-25-09,1,1
1722020,27,3,"W. Stadium - Oak Valley to Blake Transit Ctr",,0,2702,shp-27-04,1,1
1089070,23,1,"Plymouth to Green Rd P&R",,1,3307,shp-23-61,1,1
3073020,32,3,"Miller - Maple to Pennsylvania & Maple",,1,702,shp-32-55,1,1
4190010,30,2,"Jackson Rd to BTC",,0,3401,shp-30-51,1,1
893020,42,3,"Forest - MacArthur to Ypsilanti Transit Ctr",,0,7002,shp-42-52,1,1
1225070,45,1,"Grove to Ypsilanti Transit Ctr",,0,9707,shp-45-51,1,1
2894070,44,1,"44 Ecorse Tyler to West Willow",,1,9207,shp-44-02,1,1
1462070,6,1,"Ellsworth to Ypsilanti Transit Center",,1,11107,shp-6-51,1,1
627010,3,2," Huron River to YTC",,1,9101,shp-3-53,1,1
1373070,3,1," Huron River to YTC",,1,4007,shp-3-53,1,1
3205010,4,2,"Washtenaw to BTC",,0,5401,shp-4-06,1,1
2939070,43,1,"E Michigan Ave to Holmes & Ridge",,1,8107,shp-43-02,1,1
1671070,3,1," Huron River to BTC",,0,4207,shp-3-03,1,1
3210020,28,3,"Pauline to Maple & Pennsylvania",,1,2202,shp-28-12,1,1
4079010,27,2,"W. Stadium - Oak Valley to Meijer",,1,3001,shp-27-52,1,1
1640020,32,3,"Miller - Maple to Blake Transit Ctr",,0,702,shp-32-06,1,1
1675020,23,3,"Plymouth to Plymouth Rd P&R",,1,2102,shp-23-60,1,1
3285020,104,3,"WASHTENAW EXPRESS TO YPSILANTI CENTER",,1,302,shp-104-52,1,1
1177020,104,3,"WASHTENAW EXPRESS TO YPSILANTI CENTER",,1,102,shp-104-52,1,1
610010,28,2,"28 Pauline to BTC",,0,3101,shp-28-10,1,1
3895010,46,2,"Paint Creek to Ypsilanti Transit Ctr",,0,8301,shp-46-51,1,1
2977070,23,1,"Plymouth to Green Rd P&R",,1,3407,shp-23-61,1,1
2384020,30,3,"Jackson Rd to Meijer: Jackson Rd",,1,3602,shp-30-05,1,1
3898070,23,1,"Plymouth to Green Rd P&R",,1,3407,shp-23-61,1,1
3230020,32,3,"Miller - Maple to Pennsylvania & Maple",,1,1302,shp-32-55,1,1
310020,46,3,"Paint Creek to Ypsilanti Transit Ctr",,0,7202,shp-46-51,1,1
2798020,68,3,"Harris - Ford to Holmes & Ridge",,0,8202,shp-68-51,1,1
181020,30,3,"Jackson Rd to BTC",,0,3802,shp-30-51,1,1
1575020,4,3,"Washtenaw to BTC",,0,6102,shp-4-06,1,1
701070,3,1," Huron River to BTC",,0,4007,shp-3-03,1,1
1294070,45,1,"Grove to Ypsilanti Transit Ctr",,0,9707,shp-45-51,1,1
2752070,29,1,"Liberty to Blake Transit Ctr",,0,4907,shp-29-01,1,1
4201070,47,1,"47 Harriet Michigan to YTC",,0,8007,shp-47-51,1,1
3854070,44,1,"44 Ecorse Tyler to YTC",,0,9207,shp-44-52,1,1
1691070,29,1,"Liberty to Scio Ridge",,1,4807,shp-29-51,1,1
4129070,66,1,"Carpenter - Huron Pkwy to Pierpont Commons",,1,13407,shp-66-08,1,1
986020,62,3,"U-M - State St to Wolverine Tower",,0,12602,shp-62-54,1,1
2512070,44,1,"44 Ecorse Tyler to West Willow",,1,9607,shp-44-02,1,1
4303020,4,3,"Washtenaw to BTC",,0,5202,shp-4-06,1,1
926070,32,1,"Miller - Maple to Blake Transit Ctr",,0,4407,shp-32-06,1,1
367070,4,1,"Washtenaw to YTC",,1,5407,shp-4-55,1,1
2556010,6,2,"Ellsworth to BTC",,0,11501,shp-6-01,1,1
2012070,26,1,"Scio Church to BTC",,0,4807,shp-26-01,1,1
