OID_,Id,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,loc_type,parent_sta,timezone,wheelchair,count,coord_x,coord_y,dist_ctr
850,0,993,883,Scio Church + Waltham Dr., ,42.256366999999997,-83.775463999999999, , , , , ,2,1,271059.210799999535084,4681970.401499999687076,4410.556209051863334
851,0,994,884,Maple + Tudor, ,42.257477000000002,-83.778267000000000, , , , , ,2,1,270832.003200000151992,4682101.205000000074506,4532.011770621928918
852,0,995,885,Maple + Dicken, ,42.260115999999996,-83.779550000000000, , , , , ,2,1,270735.733500000089407,4682397.711400000378489,4472.179020179058170
853,0,996,886,Maple + Surrey Park, ,42.262329999999999,-83.779601000000000, , , , , ,1,1,270739.554100000299513,4682643.705900000408292,4362.132247690036820
854,0,997,887,Maple + Breckenridger Dr, ,42.263542000000001,-83.779635999999996, , , , , ,1,1,270741.061800000257790,4682778.388699999079108,4307.185762006716686
855,0,998,888,Stadium + Stadium Ct, ,42.264650000000003,-83.767809999999997, , , , , ,2,1,271720.522499999962747,4682869.643999999389052,3380.640372825204395
856,0,999,889,Stadium + Maywood, ,42.263852000000000,-83.765844000000001, , , , , ,1,1,271879.804600000381470,4682775.758099999278784,3286.682004397508535
857,0,1000,890,Stadium + Greenview, ,42.263817000000003,-83.763656999999995, , , , , ,1,1,272060.070700000040233,4682766.012700000777841,3137.566883343269637
858,0,1001,892,Franklin + Stadium, ,42.264215999999998,-83.759766999999997, , , , , ,2,1,272382.369599999859929,4682799.910599999129772,2850.190657295299843
859,0,1002,893,Franklin St. + Seventh, ,42.265338000000000,-83.758379000000005, , , , , ,1,1,272500.893899999558926,4682920.793899999931455,2683.941700278878216
860,0,1003,894,Seventh + Pauline, ,42.268608999999998,-83.758221000000006, , , , , ,2,1,272525.696000000461936,4683283.604599999263883,2475.311555301640510
861,0,1004,895,Seventh + Davis, ,42.270558000000001,-83.758253999999994, , , , , ,1,1,272529.987800000235438,4683500.122500000521541,2378.379158699029176
862,0,1005,896,Seventh + Princeton, ,42.273004999999998,-83.758319000000000, , , , , ,2,1,272533.433100000023842,4683772.027100000530481,2281.928913347610887
863,0,1006,897,Madison + Sixth, ,42.273916999999997,-83.757414999999995, , , , , ,1,1,272611.268799999728799,4683870.885700000450015,2179.919853889834030
864,0,1007,898,Madison  + Fourth, ,42.273933000000000,-83.754992000000001, , , , , ,2,1,272811.152700000442564,4683866.191299999132752,1988.853547257512446
865,0,1008,899,Madison + First, ,42.274036000000002,-83.751275000000007, , , , , ,1,1,273118.065899999812245,4683867.712999999523163,1696.519034600983559
866,0,1009,925,Dexter Rd + Wildwood, ,42.282291000000001,-83.766880000000000, , , , , ,2,1,271860.916699999943376,4684826.123999999836087,2882.698585104733411
867,0,1010,926,Dexter Rd + Grandview, ,42.282870000000003,-83.769732000000005, , , , , ,2,1,271627.834099999628961,4684898.070800000801682,3123.640053134191930
868,0,1011,927,Dexter Rd + Doty, ,42.283425000000001,-83.772222999999997, , , , , ,1,1,271424.436300000175834,4684966.390499999746680,3335.129097746615571
869,0,1012,928,Dexter Rd w. of Lyn Anne Ct., ,42.284348999999999,-83.776449999999997, , , , , ,1,1,271079.232699999585748,4685080.361800000071526,3694.530613574232120
870,0,1013,934,Miller + Maple, ,42.295239000000002,-83.781835999999998, , , , , ,1,1,270674.657200000248849,4686304.168899999931455,4453.554508650740900
871,0,1014,935,S- Dexter Rd. east of Maple, ,42.285221999999997,-83.779904999999999, , , , , ,2,1,270797.510200000368059,4685186.607200000435114,3990.866062069375403
872,0,1015,936,S - Dexter west of Lyn Anne, ,42.284334000000001,-83.776548000000005, , , , , ,1,1,271071.097500000149012,4685078.959799999371171,3702.296848517950821
873,0,1016,937,S- Dexter Rd. btw Worden and Allen, ,42.283520000000003,-83.773359999999997, , , , , ,2,1,271331.025000000372529,4684979.994999999180436,3429.514988835333043
874,0,1017,938,Dexter + Grandview, ,42.282772999999999,-83.769616999999997, , , , , ,2,1,271636.966300000436604,4684886.990599999204278,3112.980780092023451
875,0,1018,939,S - Dexter east of Wildwood, ,42.282277999999998,-83.767099000000002, , , , , ,2,1,271842.811099999584258,4684825.267599999904633,2900.522375679427569
876,0,1019,946,E - First north of Frederick, ,42.233699999999999,-83.625681000000000, , , , , ,2,1,283337.694299999624491,4679061.425000000745058,10158.341190430513961
877,0,1020,947,N - Michigan west of First, ,42.237268999999998,-83.626275000000007, , , , , ,1,1,283300.895600000396371,4679459.255200000479817,9921.772084296046160
878,0,1021,948,Michigan + Wallace, ,42.235726000000000,-83.629237000000003, , , , , ,1,1,283051.189100000075996,4679295.453500000759959,9791.519946343802076
879,0,1022,949,Michigan + Wilson, ,42.233237000000003,-83.634054000000006, , , , , ,1,1,282645.144399999640882,4679031.343800000846386,9594.535858332867065
880,0,1023,950,Ellsworth  + Michigan, ,42.230699999999999,-83.639286999999996, , , , , ,2,1,282204.572599999606609,4678762.989900000393391,9393.375864773797730
881,0,1024,951,Ellsworth + Hewitt, ,42.230668000000001,-83.645076000000003, , , , , ,1,1,281726.717000000178814,4678774.254499999806285,9010.005201119942285
882,0,1025,952,Ellsworth + Fairhills, ,42.230598000000001,-83.649024999999995, , , , , ,1,1,281400.578200000338256,4678776.608300000429153,8757.145855988941548
883,0,1026,953,Ellsworth + Clubview, ,42.230392000000002,-83.656655999999998, , , , , ,1,1,280770.104399999603629,4678773.344900000840425,8288.204707086664712
884,0,1027,954,Ellsworth + Golfside, ,42.230341000000003,-83.662353999999993, , , , , ,2,1,280299.689000000245869,4678782.362600000575185,7944.721896020811073
885,0,1028,955,Ellsworth + Cloverlawn, ,42.230449999999998,-83.666177000000005, , , , , ,2,1,279984.567099999636412,4678804.334100000560284,7710.480705722669882
886,0,1029,956,Ellsworth + Cloverlawn, ,42.230269000000000,-83.664952999999997, , , , , ,2,1,280084.951200000010431,4678781.074100000783801,7796.257852225002352
