GEOID20,STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,GEOIDFQ20,NAME20,MTFCC20,UR20,UACE20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,HOUSING20,POP20,Shape_Length,Shape_Area
261614003002005,26,161,400300,2005,1000000US261614003002005,Block2005,G5040,U,02602,S,8407.000000000000000,0.000000000000000,+42.2709851,-083.7266921,0.000000000000000,0.000000000000000,0.004602145982040,0.000000917367590
261614053003009,26,161,405300,3009,1000000US261614053003009,Block3009,G5040,U,02602,S,14895.000000000000000,0.000000000000000,+42.2748390,-083.7223058,13.000000000000000,33.000000000000000,0.005352910724680,0.000001625534179
261614053003007,26,161,405300,3007,1000000US261614053003007,Block3007,G5040,U,02602,S,92906.000000000000000,0.000000000000000,+42.2723638,-083.7166896,45.000000000000000,112.000000000000000,0.012928727357188,0.000010138622866
261614053004003,26,161,405300,4003,1000000US261614053004003,Block4003,G5040,U,02602,S,63223.000000000000000,0.000000000000000,+42.2681451,-083.7166528,22.000000000000000,58.000000000000000,0.012215852439163,0.000006898952667
261614004002019,26,161,400400,2019,1000000US261614004002019,Block2019,G5040,U,02602,S,7111.000000000000000,0.000000000000000,+42.2612010,-083.7355019,3.000000000000000,12.000000000000000,0.003660797197594,0.000000775895513
261614004003003,26,161,400400,3003,1000000US261614004003003,Block3003,G5040,U,02602,S,22478.000000000000000,0.000000000000000,+42.2630650,-083.7308986,46.000000000000000,84.000000000000000,0.007298497117297,0.000002452621713
261614046005006,26,161,404600,5006,1000000US261614046005006,Block5006,G5040,U,02602,S,9830.000000000000000,0.000000000000000,+42.2577778,-083.7395749,1.000000000000000,1.000000000000000,0.004441024881567,0.000001072527517
261614046005012,26,161,404600,5012,1000000US261614046005012,Block5012,G5040,U,02602,S,8886.000000000000000,0.000000000000000,+42.2439995,-083.7372330,0.000000000000000,0.000000000000000,0.009431825939088,0.000000969262172
261614045001008,26,161,404500,1008,1000000US261614045001008,Block1008,G5040,U,02602,S,19755.000000000000000,0.000000000000000,+42.2469627,-083.7418645,89.000000000000000,119.000000000000000,0.005741331436192,0.000002154974881
261614005006012,26,161,400500,6012,1000000US261614005006012,Block6012,G5040,U,02602,S,26498.000000000000000,0.000000000000000,+42.2731964,-083.7471455,0.000000000000000,0.000000000000000,0.007643135938338,0.000002891652889
261614005007003,26,161,400500,7003,1000000US261614005007003,Block7003,G5040,U,02602,S,3943.000000000000000,0.000000000000000,+42.2739244,-083.7434691,0.000000000000000,0.000000000000000,0.002884893460546,0.000000430293017
