Id,Label,0,1,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum,Authority,Hub,pageranks,modularity_class,stat_inf_class,clustering,eigencentrality,weighted indegree,weighted outdegree,Weighted Degree
884,Miller Ave. + Bruce,-83.773293,42.291813,1,1,2,60,0.033484,0.041816,32920.666667,0,81,0,0,0.000627,12,1,0,0.186802,1,1,2
885,Miller Ave. + Saunders Cresent,-83.771492,42.291119,1,1,2,59,0.034601,0.043434,32943.666667,0,81,0,0,0.000708,12,1,0,0.106144,1,1,2
886,Miller + Pine Tree,-83.767189,42.289471,1,1,2,58,0.035795,0.045229,32966.666667,0,81,0,0,0.000777,12,1,0,0.066113,1,1,2
887,Miller Ave. + Wesley,-83.763405,42.287975,1,1,2,56,0.03845,0.049507,33012.666667,0,81,0,0,0.000886,12,1,0,0.044662,1,1,2
888,Miller Ave. + Arborview,-83.760155,42.286732,1,1,2,55,0.039931,0.052107,33035.666667,0,81,0,0,0.000929,12,1,0,0.043182,1,1,2
889,Miller Ave. + Brooks,-83.758446,42.286049,1,1,2,54,0.04153,0.055135,33058.666667,0,81,0,0,0.000965,12,1,0,0.042831,1,1,2
890,Miller + Miner,-83.756462,42.285278,1,1,2,53,0.043263,0.058754,33081.666667,0,81,0,0,0.000996,12,1,0,0.04276,1,1,2
891,Miller + Chapin,-83.752655,42.283821,1,1,2,52,0.045146,0.063271,33104.666667,0,81,0,0,0.001022,12,1,0,0.042747,1,1,2
893,Catherine + Fourth,-83.747284,42.283192,1,2,3,50,0.045311,0.070713,33092.666667,0,81,0,0,0.000849,12,1,0,0.122824,1,2,3
896,Summit + Main,-83.747574,42.28857,2,2,4,53,0.040466,0.059354,20608,0,81,0,0,0.000961,12,3,0.083333,0.134081,2,2,4
897,Summit + Wildt,-83.748596,42.288761,1,1,2,55,0.037595,0.052294,14928,0,81,0,0,0.000584,12,3,0.5,0.097217,1,1,2
